User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration,GDP ($ per capita)
27,Basic,10,29-08-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,7600.0
28,Standard,12,27-09-21,24-06-23,Mexico,33,Male,Tablet,1 Month,9000.0
29,Premium,15,19-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,22000.0
30,Basic,10,17-05-23,22-06-23,Italy,42,Male,Smartphone,1 Month,26700.0
31,Premium,15,03-02-23,22-06-23,United States,28,Female,Smart TV,1 Month,37800.0
32,Basic,10,07-07-22,28-06-23,Canada,37,Male,Tablet,1 Month,29800.0
33,Standard,12,21-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,27700.0
34,Standard,12,25-05-22,26-06-23,Australia,29,Male,Smartphone,1 Month,29000.0
35,Basic,10,11-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,27600.0
36,Premium,15,01-03-22,27-06-23,France,35,Male,Tablet,1 Month,27600.0
37,Basic,10,14-09-22,25-06-23,Brazil,45,Female,Laptop,1 Month,7600.0
38,Standard,12,05-11-21,24-06-23,Mexico,32,Male,Smartphone,1 Month,9000.0
39,Premium,15,28-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,22000.0
40,Basic,10,07-03-23,22-06-23,Italy,48,Male,Tablet,1 Month,26700.0
41,Premium,15,20-01-23,22-06-23,United States,31,Female,Laptop,1 Month,37800.0
42,Basic,10,15-06-22,28-06-23,Canada,40,Male,Smartphone,1 Month,29800.0
43,Standard,12,07-02-22,27-06-23,United Kingdom,36,Female,Smart TV,1 Month,27700.0
44,Standard,12,26-04-22,26-06-23,Australia,29,Male,Tablet,1 Month,29000.0
45,Basic,10,28-01-23,28-06-23,Germany,43,Female,Laptop,1 Month,27600.0
46,Premium,15,23-02-22,27-06-23,France,34,Male,Smartphone,1 Month,27600.0
47,Basic,10,05-10-22,25-06-23,Brazil,39,Female,Smart TV,1 Month,7600.0
48,Standard,12,15-09-21,24-06-23,Mexico,32,Male,Tablet,1 Month,9000.0
49,Premium,15,10-11-22,23-06-23,Spain,28,Female,Laptop,1 Month,22000.0
50,Basic,10,02-06-23,22-06-23,Italy,45,Male,Smartphone,1 Month,26700.0
51,Premium,15,27-02-23,22-06-23,United States,30,Female,Smart TV,1 Month,37800.0
52,Basic,10,29-08-22,28-06-23,Canada,37,Male,Tablet,1 Month,29800.0
53,Standard,12,13-01-22,27-06-23,United Kingdom,41,Female,Laptop,1 Month,27700.0
54,Standard,12,30-06-22,26-06-23,Australia,29,Male,Smartphone,1 Month,29000.0
55,Basic,10,20-04-23,28-06-23,Germany,39,Female,Smart TV,1 Month,27600.0
56,Premium,15,15-03-22,27-06-23,France,36,Male,Tablet,1 Month,27600.0
57,Basic,10,01-10-22,25-06-23,Brazil,46,Female,Laptop,1 Month,7600.0
58,Standard,12,08-10-21,24-06-23,Mexico,34,Male,Smartphone,1 Month,9000.0
59,Premium,15,03-12-22,23-06-23,Spain,27,Female,Smart TV,1 Month,22000.0
60,Basic,10,14-06-23,22-06-23,Italy,42,Male,Tablet,1 Month,26700.0
61,Premium,15,08-02-23,22-06-23,United States,28,Female,Laptop,1 Month,37800.0
62,Basic,10,03-08-22,28-06-23,Canada,37,Male,Smartphone,1 Month,29800.0
63,Standard,12,23-02-22,27-06-23,United Kingdom,41,Female,Smart TV,1 Month,27700.0
64,Standard,12,20-06-22,26-06-23,Australia,29,Male,Tablet,1 Month,29000.0
65,Basic,10,29-03-23,28-06-23,Germany,40,Female,Laptop,1 Month,27600.0
66,Premium,15,30-01-22,27-06-23,France,29,Male,Smartphone,1 Month,27600.0
67,Basic,10,18-09-22,25-06-23,Brazil,47,Female,Smart TV,1 Month,7600.0
68,Standard,12,09-11-21,24-06-23,Mexico,33,Male,Tablet,1 Month,9000.0
69,Premium,15,23-12-22,23-06-23,Spain,36,Female,Laptop,1 Month,22000.0
70,Basic,10,08-05-23,22-06-23,Italy,41,Male,Smartphone,1 Month,26700.0
71,Basic,10,26-01-22,20-06-23,United States,27,Male,Smartphone,1 Month,37800.0
72,Basic,10,11-10-22,22-06-23,Canada,31,Female,Smartphone,1 Month,29800.0
73,Standard,12,27-09-22,26-06-23,United Kingdom,28,Female,Laptop,1 Month,27700.0
74,Premium,13,14-12-22,25-06-23,Australia,41,Female,Smartphone,1 Month,29000.0
75,Basic,13,28-05-22,26-06-23,Germany,28,Female,Laptop,1 Month,27600.0
76,Basic,13,29-12-21,26-06-23,France,51,Female,Laptop,1 Month,27600.0
77,Premium,15,25-12-22,23-06-23,Brazil,45,Female,Smartphone,1 Month,7600.0
78,Standard,15,18-11-22,28-06-23,Mexico,49,Male,Tablet,1 Month,9000.0
79,Standard,15,03-12-22,25-06-23,Spain,43,Female,Laptop,1 Month,22000.0
80,Basic,12,08-11-22,22-06-23,Italy,43,Male,Tablet,1 Month,26700.0
81,Premium,10,11-01-23,24-06-23,United States,37,Male,Tablet,1 Month,37800.0
82,Standard,12,07-12-22,28-06-23,Canada,35,Male,Laptop,1 Month,29800.0
83,Basic,10,20-10-22,26-06-23,United Kingdom,46,Female,Smartphone,1 Month,27700.0
84,Standard,12,13-04-23,25-06-23,Australia,32,Male,Smartphone,1 Month,29000.0
85,Premium,10,06-04-23,27-06-23,Germany,37,Female,Laptop,1 Month,27600.0
86,Basic,11,04-03-22,25-06-23,France,29,Female,Smartphone,1 Month,27600.0
87,Premium,15,28-12-21,23-06-23,Brazil,45,Male,Smart TV,1 Month,7600.0
88,Standard,12,27-09-22,28-06-23,Mexico,47,Male,Tablet,1 Month,9000.0
89,Basic,15,20-10-22,26-06-23,Spain,39,Male,Smartphone,1 Month,22000.0
90,Standard,13,03-02-23,23-06-23,Italy,49,Female,Smartphone,1 Month,26700.0
91,Premium,11,03-10-22,23-06-23,United States,39,Male,Tablet,1 Month,37800.0
92,Basic,14,05-01-22,28-06-23,Canada,39,Male,Smart TV,1 Month,29800.0
93,Standard,12,05-02-22,26-06-23,United Kingdom,35,Male,Smartphone,1 Month,27700.0
94,Premium,12,19-03-22,25-06-23,Australia,44,Male,Smartphone,1 Month,29000.0
95,Basic,11,28-02-22,25-06-23,Germany,34,Male,Laptop,1 Month,27600.0
96,Premium,14,26-07-22,24-06-23,France,32,Male,Laptop,1 Month,27600.0
97,Basic,10,05-03-22,24-06-23,Brazil,29,Female,Tablet,1 Month,7600.0
98,Standard,13,07-03-22,28-06-23,Mexico,31,Female,Tablet,1 Month,9000.0
99,Standard,12,13-01-23,24-06-23,Spain,29,Female,Tablet,1 Month,22000.0
100,Basic,12,22-01-23,25-06-23,Italy,35,Male,Laptop,1 Month,26700.0
101,Premium,11,17-10-22,24-06-23,United States,46,Female,Tablet,1 Month,37800.0
102,Basic,12,29-03-22,28-06-23,Canada,31,Male,Tablet,1 Month,29800.0
103,Standard,13,04-04-22,26-06-23,United Kingdom,36,Male,Laptop,1 Month,27700.0
104,Premium,10,08-06-22,25-06-23,Australia,38,Male,Laptop,1 Month,29000.0
105,Basic,11,04-03-22,27-06-23,Germany,46,Female,Laptop,1 Month,27600.0
106,Premium,10,18-03-22,24-06-23,France,49,Female,Tablet,1 Month,27600.0
107,Basic,14,07-03-22,24-06-23,Brazil,29,Female,Smart TV,1 Month,7600.0
108,Standard,12,24-05-22,25-06-23,Mexico,27,Female,Smart TV,1 Month,9000.0
109,Standard,13,08-02-23,25-06-23,Spain,35,Female,Tablet,1 Month,22000.0
110,Basic,13,26-01-23,24-06-23,Italy,37,Female,Laptop,1 Month,26700.0
111,Premium,14,14-07-22,27-06-23,United States,40,Male,Tablet,1 Month,37800.0
112,Basic,10,01-06-22,28-06-23,Canada,33,Female,Laptop,1 Month,29800.0
113,Standard,15,07-05-22,26-06-23,United Kingdom,37,Male,Tablet,1 Month,27700.0
114,Premium,10,18-11-22,25-06-23,Australia,48,Male,Smartphone,1 Month,29000.0
115,Basic,11,05-04-22,25-06-23,Germany,50,Female,Laptop,1 Month,27600.0
116,Premium,14,19-05-22,23-06-23,France,45,Female,Smart TV,1 Month,27600.0
117,Basic,15,30-10-21,23-06-23,Brazil,40,Female,Tablet,1 Month,7600.0
118,Standard,12,07-08-22,27-06-23,Mexico,33,Male,Smartphone,1 Month,9000.0
119,Standard,11,20-09-22,25-06-23,Spain,44,Female,Smartphone,1 Month,22000.0
120,Basic,10,18-10-22,25-06-23,Italy,30,Female,Smart TV,1 Month,26700.0
121,Premium,15,03-10-22,24-06-23,United States,27,Male,Smart TV,1 Month,37800.0
122,Basic,11,03-05-22,28-06-23,Canada,51,Male,Smart TV,1 Month,29800.0
123,Standard,13,25-05-22,26-06-23,United Kingdom,49,Female,Smartphone,1 Month,27700.0
124,Premium,15,05-11-22,25-06-23,Australia,43,Male,Laptop,1 Month,29000.0
125,Basic,12,21-08-22,24-06-23,Germany,42,Male,Smartphone,1 Month,27600.0
126,Premium,13,21-09-22,23-06-23,France,45,Male,Laptop,1 Month,27600.0
127,Basic,10,23-11-21,23-06-23,Brazil,36,Male,Smartphone,1 Month,7600.0
128,Standard,12,06-10-22,27-06-23,Mexico,48,Male,Smartphone,1 Month,9000.0
129,Standard,13,05-11-22,23-06-23,Spain,38,Male,Smart TV,1 Month,22000.0
130,Basic,14,07-01-23,23-06-23,Italy,43,Female,Tablet,1 Month,26700.0
131,Premium,15,06-10-22,23-06-23,United States,47,Male,Laptop,1 Month,37800.0
132,Basic,15,24-06-22,28-06-23,Canada,48,Female,Smart TV,1 Month,29800.0
133,Standard,13,24-06-22,26-06-23,United Kingdom,47,Male,Smart TV,1 Month,27700.0
134,Premium,15,05-11-22,25-06-23,Australia,32,Male,Tablet,1 Month,29000.0
135,Basic,13,18-07-22,26-06-23,Germany,47,Female,Smart TV,1 Month,27600.0
136,Premium,12,13-09-22,26-06-23,France,41,Female,Smart TV,1 Month,27600.0
137,Basic,12,10-08-22,22-06-23,Brazil,49,Male,Laptop,1 Month,7600.0
138,Standard,15,21-09-22,23-06-23,Mexico,28,Male,Laptop,1 Month,9000.0
139,Standard,13,24-03-23,23-06-23,Spain,40,Male,Smartphone,1 Month,22000.0
140,Basic,12,02-05-22,23-06-23,Italy,43,Female,Smartphone,1 Month,26700.0
141,Premium,12,11-05-22,27-06-23,United States,42,Male,Smartphone,1 Month,37800.0
142,Basic,14,10-06-22,22-06-23,Canada,28,Male,Smart TV,1 Month,29800.0
143,Standard,14,31-08-22,24-06-23,United Kingdom,30,Female,Tablet,1 Month,27700.0
144,Premium,10,17-08-22,26-06-23,Australia,33,Male,Smart TV,1 Month,29000.0
145,Basic,11,05-05-22,26-06-23,Germany,35,Female,Laptop,1 Month,27600.0
146,Basic,10,06-10-22,25-06-23,France,38,Male,Tablet,1 Month,27600.0
147,Basic,12,08-11-22,24-06-23,Brazil,49,Female,Laptop,1 Month,7600.0
148,Standard,15,27-11-22,28-06-23,Mexico,39,Female,Smartphone,1 Month,9000.0
149,Premium,13,17-11-22,27-06-23,Spain,46,Female,Smart TV,1 Month,22000.0
150,Basic,10,15-12-22,23-06-23,Italy,47,Female,Laptop,1 Month,26700.0
151,Basic,15,12-12-22,25-06-23,United States,30,Female,Laptop,1 Month,37800.0
152,Premium,14,23-11-22,27-06-23,Canada,33,Female,Tablet,1 Month,29800.0
153,Standard,11,25-12-22,24-06-23,United Kingdom,47,Male,Smartphone,1 Month,27700.0
154,Standard,11,11-03-23,27-06-23,Australia,27,Male,Laptop,1 Month,29000.0
155,Basic,14,18-11-22,27-06-23,Germany,28,Male,Tablet,1 Month,27600.0
156,Premium,15,19-08-22,25-06-23,France,47,Male,Smartphone,1 Month,27600.0
157,Standard,14,27-09-22,24-06-23,Brazil,30,Male,Laptop,1 Month,7600.0
158,Basic,13,19-10-22,28-06-23,Mexico,47,Female,Smartphone,1 Month,9000.0
159,Standard,10,21-12-22,26-06-23,Spain,51,Female,Smart TV,1 Month,22000.0
160,Premium,15,27-10-22,25-06-23,Italy,39,Male,Smartphone,1 Month,26700.0
161,Basic,10,23-10-22,24-06-23,United States,45,Male,Tablet,1 Month,37800.0
162,Premium,15,19-04-22,25-06-23,Canada,31,Male,Laptop,1 Month,29800.0
163,Standard,11,05-04-22,26-06-23,United Kingdom,29,Male,Laptop,1 Month,27700.0
164,Basic,11,11-03-22,26-06-23,Australia,42,Female,Tablet,1 Month,29000.0
165,Standard,14,25-05-22,25-06-23,Germany,49,Male,Tablet,1 Month,27600.0
166,Premium,13,16-04-22,26-06-23,France,42,Male,Laptop,1 Month,27600.0
167,Basic,13,07-04-22,24-06-23,Brazil,29,Male,Smartphone,1 Month,7600.0
168,Standard,10,11-12-22,28-06-23,Mexico,29,Male,Tablet,1 Month,9000.0
169,Premium,12,20-01-23,26-06-23,Spain,49,Male,Tablet,1 Month,22000.0
170,Basic,14,12-01-23,25-06-23,Italy,32,Male,Laptop,1 Month,26700.0
171,Premium,11,29-04-22,24-06-23,United States,35,Female,Tablet,1 Month,37800.0
172,Basic,12,27-04-22,26-06-23,Canada,39,Female,Smartphone,1 Month,29800.0
173,Standard,15,03-06-22,25-06-23,United Kingdom,40,Male,Smartphone,1 Month,27700.0
174,Standard,14,23-04-22,25-06-23,Australia,39,Female,Tablet,1 Month,29000.0
175,Basic,10,22-04-22,26-06-23,Germany,47,Female,Laptop,1 Month,27600.0
176,Premium,13,12-04-22,25-06-23,France,37,Female,Smart TV,1 Month,27600.0
177,Basic,15,23-05-22,26-06-23,Brazil,27,Female,Smartphone,1 Month,7600.0
178,Standard,13,19-10-22,26-06-23,Mexico,49,Female,Laptop,1 Month,9000.0
179,Premium,10,03-12-22,26-06-23,Spain,30,Female,Tablet,1 Month,22000.0
180,Basic,14,26-09-22,25-06-23,Italy,36,Male,Laptop,1 Month,26700.0
181,Premium,15,16-06-22,27-06-23,United States,33,Male,Smartphone,1 Month,37800.0
182,Basic,13,16-05-22,25-06-23,Canada,30,Female,Laptop,1 Month,29800.0
183,Standard,15,26-05-22,26-06-23,United Kingdom,36,Female,Tablet,1 Month,27700.0
184,Standard,13,26-04-22,25-06-23,Australia,28,Female,Laptop,1 Month,29000.0
185,Basic,11,12-05-22,25-06-23,Germany,47,Female,Tablet,1 Month,27600.0
186,Premium,12,01-03-22,25-06-23,France,33,Female,Smart TV,1 Month,27600.0
187,Basic,13,10-07-22,24-06-23,Brazil,49,Female,Laptop,1 Month,7600.0
188,Standard,15,16-07-22,27-06-23,Mexico,44,Female,Smart TV,1 Month,9000.0
189,Premium,13,02-09-22,26-06-23,Spain,47,Male,Smart TV,1 Month,22000.0
190,Basic,11,18-09-22,26-06-23,Italy,37,Female,Tablet,1 Month,26700.0
191,Premium,10,08-07-22,25-06-23,United States,46,Male,Laptop,1 Month,37800.0
192,Basic,14,26-06-22,27-06-23,Canada,50,Female,Smartphone,1 Month,29800.0
193,Standard,11,05-08-22,25-06-23,United Kingdom,50,Male,Laptop,1 Month,27700.0
194,Standard,14,19-08-22,27-06-23,Australia,37,Male,Laptop,1 Month,29000.0
195,Basic,11,26-08-22,24-06-23,Germany,50,Female,Smartphone,1 Month,27600.0
196,Premium,13,09-06-22,24-06-23,France,45,Female,Smart TV,1 Month,27600.0
197,Basic,14,27-09-22,23-06-23,Brazil,45,Male,Tablet,1 Month,7600.0
198,Standard,10,18-10-22,27-06-23,Mexico,49,Female,Laptop,1 Month,9000.0
199,Premium,14,31-10-22,25-06-23,Spain,39,Female,Tablet,1 Month,22000.0
200,Basic,11,13-10-22,25-06-23,Italy,45,Female,Tablet,1 Month,26700.0
201,Premium,11,04-07-22,27-06-23,United States,49,Female,Smart TV,1 Month,37800.0
202,Basic,12,26-06-22,27-06-23,Canada,31,Female,Tablet,1 Month,29800.0
203,Standard,13,31-07-22,24-06-23,United Kingdom,42,Female,Smart TV,1 Month,27700.0
204,Standard,12,27-07-22,24-06-23,Australia,37,Male,Smartphone,1 Month,29000.0
205,Basic,12,30-07-22,25-06-23,Germany,30,Male,Smart TV,1 Month,27600.0
206,Premium,11,06-08-22,25-06-23,France,40,Male,Smartphone,1 Month,27600.0
207,Basic,15,16-09-22,24-06-23,Brazil,45,Female,Smartphone,1 Month,7600.0
208,Standard,15,05-01-23,23-06-23,Mexico,36,Female,Tablet,1 Month,9000.0
209,Premium,11,10-12-22,24-06-23,Spain,41,Male,Laptop,1 Month,22000.0
210,Basic,14,22-11-22,26-06-23,Italy,49,Female,Laptop,1 Month,26700.0
211,Premium,15,15-11-22,27-06-23,United States,40,Male,Tablet,1 Month,37800.0
212,Basic,11,28-10-22,26-06-23,Canada,36,Male,Smart TV,1 Month,29800.0
213,Standard,12,08-09-22,24-06-23,United Kingdom,49,Female,Smart TV,1 Month,27700.0
214,Standard,13,30-06-22,28-06-23,Australia,43,Female,Laptop,1 Month,29000.0
215,Basic,13,02-09-22,27-06-23,Germany,50,Female,Smartphone,1 Month,27600.0
216,Premium,14,08-10-22,24-06-23,France,51,Female,Smart TV,1 Month,27600.0
217,Basic,15,13-11-22,25-06-23,Brazil,44,Male,Smart TV,1 Month,7600.0
218,Standard,12,15-11-22,28-06-23,Mexico,27,Male,Tablet,1 Month,9000.0
219,Premium,12,16-11-22,25-06-23,Spain,46,Female,Smartphone,1 Month,22000.0
220,Basic,12,26-11-22,27-06-23,Italy,29,Male,Tablet,1 Month,26700.0
221,Basic,12,26-11-22,25-06-23,United States,47,Male,Smartphone,1 Month,37800.0
222,Basic,10,12-12-22,26-06-23,Canada,48,Female,Smartphone,1 Month,29800.0
223,Standard,12,08-01-23,25-06-23,United Kingdom,34,Female,Smartphone,1 Month,27700.0
224,Premium,15,27-11-22,29-06-23,Australia,40,Female,Smartphone,1 Month,29000.0
225,Basic,14,11-10-22,27-06-23,Germany,48,Female,Smartphone,1 Month,27600.0
226,Basic,10,27-09-22,26-06-23,France,35,Male,Smartphone,1 Month,27600.0
227,Premium,12,30-09-22,24-06-23,Brazil,51,Female,Smartphone,1 Month,7600.0
228,Standard,10,04-11-22,27-06-23,Mexico,39,Male,Smart TV,1 Month,9000.0
229,Standard,13,04-11-22,27-06-23,Spain,29,Male,Smartphone,1 Month,22000.0
230,Basic,12,30-10-22,26-06-23,Italy,51,Male,Laptop,1 Month,26700.0
231,Premium,11,29-10-22,24-06-23,United States,43,Male,Smartphone,1 Month,37800.0
232,Standard,11,30-08-22,27-06-23,Canada,28,Male,Smartphone,1 Month,29800.0
233,Basic,15,07-07-22,26-06-23,United Kingdom,50,Female,Smart TV,1 Month,27700.0
234,Standard,14,26-05-22,27-06-23,Australia,44,Female,Laptop,1 Month,29000.0
235,Premium,11,17-05-22,25-06-23,Germany,50,Male,Laptop,1 Month,27600.0
236,Basic,11,08-05-22,26-06-23,France,39,Female,Smartphone,1 Month,27600.0
237,Premium,13,07-07-22,25-06-23,Brazil,46,Female,Tablet,1 Month,7600.0
238,Standard,15,17-07-22,28-06-23,Mexico,48,Male,Smartphone,1 Month,9000.0
239,Basic,15,23-12-22,26-06-23,Spain,38,Male,Smart TV,1 Month,22000.0
240,Standard,13,27-06-22,26-06-23,Italy,38,Male,Smartphone,1 Month,26700.0
241,Premium,13,31-05-22,27-06-23,United States,47,Male,Laptop,1 Month,37800.0
242,Basic,12,02-06-22,26-06-23,Canada,37,Male,Laptop,1 Month,29800.0
243,Standard,11,25-05-22,27-06-23,United Kingdom,33,Male,Laptop,1 Month,27700.0
244,Premium,15,26-04-22,26-06-23,Australia,28,Male,Smartphone,1 Month,29000.0
245,Basic,13,20-04-22,26-06-23,Germany,47,Male,Smart TV,1 Month,27600.0
246,Premium,11,03-05-22,25-06-23,France,38,Female,Smartphone,1 Month,27600.0
247,Basic,12,07-07-22,27-06-23,Brazil,27,Male,Smart TV,1 Month,7600.0
248,Standard,13,15-09-22,26-06-23,Mexico,34,Male,Smartphone,1 Month,9000.0
249,Standard,14,16-09-22,27-06-23,Spain,42,Female,Smartphone,1 Month,22000.0
250,Basic,14,09-08-22,26-06-23,Italy,28,Male,Laptop,1 Month,26700.0
251,Premium,15,25-06-22,27-06-23,United States,30,Male,Laptop,1 Month,37800.0
252,Basic,11,30-05-22,26-06-23,Canada,38,Female,Smartphone,1 Month,29800.0
253,Standard,15,21-05-22,25-06-23,United Kingdom,45,Female,Tablet,1 Month,27700.0
254,Premium,12,20-05-22,27-06-23,Australia,48,Female,Smart TV,1 Month,29000.0
255,Basic,13,20-05-22,26-06-23,Germany,46,Female,Smart TV,1 Month,27600.0
256,Premium,12,30-05-22,26-06-23,France,34,Male,Tablet,1 Month,27600.0
257,Basic,13,17-06-22,25-06-23,Brazil,46,Male,Laptop,1 Month,7600.0
258,Standard,11,16-07-22,28-06-23,Mexico,41,Female,Smartphone,1 Month,9000.0
259,Standard,15,05-08-22,26-06-23,Spain,28,Male,Smartphone,1 Month,22000.0
260,Basic,10,17-07-22,26-06-23,Italy,27,Female,Smartphone,1 Month,26700.0
261,Premium,13,04-07-22,25-06-23,United States,27,Female,Smart TV,1 Month,37800.0
262,Basic,12,13-07-22,26-06-23,Canada,28,Female,Tablet,1 Month,29800.0
263,Standard,15,25-07-22,24-06-23,United Kingdom,46,Male,Smartphone,1 Month,27700.0
264,Premium,10,09-08-22,27-06-23,Australia,51,Male,Smartphone,1 Month,29000.0
265,Basic,11,05-08-22,25-06-23,Germany,32,Female,Smart TV,1 Month,27600.0
266,Premium,10,17-08-22,26-06-23,France,44,Male,Tablet,1 Month,27600.0
267,Basic,11,08-09-22,27-06-23,Brazil,44,Female,Laptop,1 Month,7600.0
268,Standard,13,16-10-22,28-06-23,Mexico,34,Female,Smart TV,1 Month,9000.0
269,Standard,13,15-10-22,25-06-23,Spain,29,Female,Laptop,1 Month,22000.0
270,Basic,12,04-09-22,25-06-23,Italy,47,Male,Smart TV,1 Month,26700.0
271,Premium,14,20-08-22,26-06-23,United States,41,Male,Laptop,1 Month,37800.0
272,Basic,10,10-08-22,26-06-23,Canada,36,Female,Smartphone,1 Month,29800.0
273,Standard,12,02-08-22,25-06-23,United Kingdom,28,Female,Laptop,1 Month,27700.0
274,Premium,10,01-08-22,24-06-23,Australia,27,Female,Tablet,1 Month,29000.0
275,Basic,15,06-08-22,25-06-23,Germany,34,Female,Laptop,1 Month,27600.0
276,Premium,14,09-08-22,25-06-23,France,34,Female,Smart TV,1 Month,27600.0
277,Basic,13,12-09-22,26-06-23,Brazil,37,Female,Tablet,1 Month,7600.0
278,Standard,14,27-09-22,26-06-23,Mexico,34,Female,Laptop,1 Month,9000.0
279,Standard,15,12-11-22,24-06-23,Spain,50,Female,Laptop,1 Month,22000.0
280,Basic,12,13-11-22,27-06-23,Italy,34,Female,Laptop,1 Month,26700.0
281,Premium,12,02-11-22,28-06-23,United States,33,Female,Smart TV,1 Month,37800.0
282,Basic,11,30-10-22,25-06-23,Canada,33,Male,Smart TV,1 Month,29800.0
283,Standard,15,30-06-22,26-06-23,United Kingdom,46,Male,Smartphone,1 Month,27700.0
284,Premium,14,04-08-22,28-06-23,Australia,39,Female,Smartphone,1 Month,29000.0
285,Basic,10,01-09-22,27-06-23,Germany,42,Female,Laptop,1 Month,27600.0
286,Premium,14,14-10-22,27-06-23,France,50,Female,Laptop,1 Month,27600.0
287,Basic,10,16-10-22,26-06-23,Brazil,43,Male,Smartphone,1 Month,7600.0
288,Standard,14,20-10-22,28-06-23,Mexico,51,Male,Smart TV,1 Month,9000.0
289,Standard,15,20-11-22,25-06-23,Spain,34,Female,Smart TV,1 Month,22000.0
290,Basic,12,25-11-22,30-06-23,Italy,48,Male,Smartphone,1 Month,26700.0
291,Premium,13,04-12-22,27-06-23,United States,29,Female,Tablet,1 Month,37800.0
292,Basic,11,12-12-22,27-06-23,Canada,43,Female,Laptop,1 Month,29800.0
293,Standard,14,09-12-22,25-06-23,United Kingdom,39,Female,Laptop,1 Month,27700.0
294,Premium,10,15-10-22,29-06-23,Australia,50,Male,Laptop,1 Month,29000.0
295,Basic,14,03-10-22,27-06-23,Germany,45,Male,Laptop,1 Month,27600.0
296,Basic,12,01-10-22,27-06-23,France,48,Female,Tablet,1 Month,27600.0
297,Basic,13,02-11-22,24-06-23,Brazil,40,Male,Smartphone,1 Month,7600.0
298,Standard,14,03-11-22,27-06-23,Mexico,41,Male,Tablet,1 Month,9000.0
299,Premium,10,30-10-22,27-06-23,Spain,27,Male,Smartphone,1 Month,22000.0
300,Basic,11,30-10-22,28-06-23,Italy,36,Male,Laptop,1 Month,26700.0
301,Basic,10,27-09-22,24-06-23,United States,36,Female,Laptop,1 Month,37800.0
302,Premium,11,14-09-22,27-06-23,Canada,44,Male,Tablet,1 Month,29800.0
303,Standard,12,11-06-22,26-06-23,United Kingdom,45,Male,Tablet,1 Month,27700.0
304,Standard,12,11-06-22,29-06-23,Australia,33,Female,Smartphone,1 Month,29000.0
305,Basic,13,24-05-22,26-06-23,Germany,47,Male,Smart TV,1 Month,27600.0
306,Premium,13,06-07-22,27-06-23,France,45,Male,Tablet,1 Month,27600.0
307,Standard,11,08-07-22,28-06-23,Brazil,29,Female,Smart TV,1 Month,7600.0
308,Basic,13,27-10-22,27-06-23,Mexico,31,Male,Smart TV,1 Month,9000.0
309,Standard,11,09-08-22,28-06-23,Spain,31,Male,Smartphone,1 Month,22000.0
310,Premium,15,14-06-22,26-06-23,Italy,49,Female,Smartphone,1 Month,26700.0
